doc_id,party_key,governing_law,effective_date,payment_net_days,payment_amount,risk_score,risk_bucket,issues_count,issue_types
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.txt,"BANK OF AMERICA, N.A. (""BANK OF AMERICA""), A NATIONAL BANKING ASSOCIATION | THE ABOVE-NAMED SUPPLIER",,2010-11-04,,,6.0,medium,2,MISSING
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2.txt,"<<ENTER COMPANY NAME>> (""SUPPLIER | BANK OF AMERICA, N.A. (""BANK OF AMERICA",,,,,9.0,medium,3,MISSING
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3.txt,"BANK OF AMERICA | CARDLYTICS, INC. (""SUPPLIER",,2011-03-03,,,9.0,medium,3,MISSING
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4.txt,"BANK OF AMERICA, N.A. (""BANK OF AMERICA | CARDLYTICS",,,,,3.0,low,1,MISSING
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.txt,"CCA INDUSTRIES, INC. (""COMPANY | EMERSON HEALTHCARE",,,,,6.0,medium,2,MISSING
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.txt,SUPERSEDES ALL PRIOR AGREEMENTS OR UNDERSTANDINGS BETWEEN THE PARTIES HERETO RELATING TO THE SUBJECT MATTER HEREOF | THE PARTIES HERETO CONCERNING THE TRANSACTION CONTEMPLATED HEREIN,Delaware,,,,3.0,low,1,MISSING
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.txt,"CENTRACK INTERNATIONAL, A FLORIDA CORPORATION (""THE CUSTOMER | I-ON INTERACTIVE",Florida,,,,3.0,low,1,MISSING
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,"CERENCE INC | NUANCE COMMUNICATIONS, INC",Delaware,,,,3.0,low,1,MISSING
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.txt",ENVIRONMENTAL RESEARCH | INSTITUTE OF GRASSLAND,United Kingdom,,,,3.0,low,1,MISSING
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT.txt,"CERUS CORPORATION (""CERUS | POREX CORPORATION (""POREX"") (THE ""AGREEMENT"") IS MADE THIS 22 DAY OF JUNE 2018",,,,,9.0,medium,3,MISSING
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT.txt,"CHANGEPOINT | CORIO INC., A DELAWARE CORPORATION, HAVING ITS PRINCIPAL PLACE OF BUSINESS AT 700 BAY ROAD, SUITE 210, REDWOOD CITY, CA 94063 (""CORIO",the State of California,,,,0.0,low,0,
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.txt,STASCO DATED 1 NOVEMBER 1999 | THE PRINCIPAL,,,,1.0,3.0,low,1,MISSING
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.txt,"THE CHEETAH BROWER SOFTWARE (HEREINAFTER REFERRED TO AS PARTY A'S PRODUCT | THE PARTIES BELOW IN HAIDIAN DISTRICT, BEIJING, THE PEOPLE'S REPUBLIC OF CHINA (HEREINAFTER REFERRED TO AS ""PRC""): PARTY A: BEIKE INTERNET SECURITY TECHNOLOGY CO., LTD. ADDRESS: ROOM 2101, 12/F, FUXING INTERNATIONAL CENTER, NO.237, NORTH CHAOYANG ROAD, CHAOYANG DISTRICT, BEIJING. ATTENTION: TEL: E-MAIL: POSTCODE: BANK ACCOUNT: ACCOUNT NO.: PARTY B: BAIDU ONLINE NETWORK TECHNOLOGY (BEIJING) CO., LTD. ADDRESS: NO.10, SHANGDI SHI JIE, HAIDIAN DISTRICT, BEIJING ATTENTION: TEL: E-MAIL: POSTCODE: WHEREAS, 1. PARTY A OWNS THE KINGSOFT INTERNET SITE NAVIGATION WEBSITE",,,,,6.0,medium,2,MISSING
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.txt,"CHERRY HILL MORTGAGE INVESTMENT CORP | FREEDOM MORTGAGE CORPORATION, A NEW JERSEY CORPORATION (""FREEDOM MORTGAGE",the State of New York,,,,3.0,low,1,MISSING
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.txt,"BEIJING SINA INTERNET INFORMATION SERVICE CO., LTD. ( ), A LIMITED LIABILITY COMPANY ORGANIZED UNDER THE LAWS OF THE PEOPLE'S REPUBLIC OF CHINA (HEREINAFTER ""LICENSOR | BEIJING YISHENG LEJU INFORMATION SERVICES CO",the PRC,,,,3.0,low,1,MISSING
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.txt,"AUTONOMY | TWO PARTIES, BASED ON THE PRINCIPLE OF EQUALITY",,,,,6.0,medium,2,MISSING
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.txt,"CHIPMOS TECHNOLOGIES INC., A COMPANY INCORPORATED UNDER THE LAWS OF TAIWAN (""CHIPMOS | TSINGHUA UNIGROUP LTD",,,,,6.0,medium,2,MISSING
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.txt,"CLICKSTREAM CORPORATION WITH ITS PRINCIPAL OFFICE LOCATED AT 1801 CENTURY PARK EAST SUITE 1201 LOS ANGELES | INFINIXSOFT GLOBAL LLC, A FLORIDA LIMITED LIABILITY COMPANY, WITH ITS PRINCIPAL OFFICE LOCATED AT 360 NE 75 ST MIAMI, SUITE #127, 33138, MIAMI, FLORIDA (THE ""DEVELOPER",the state of Florida,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.txt,"CNS PHARMACEUTICALS, INC. (""CNS""), A NEVADA CORPORATION, HAVING A BUSINESS ADDRESS OF 2100 WEST LOOP SOUTH, SUITE 900, HOUSTON, TEXAS 77027 | WPD PHARMACEUTICALS",Texas,,,,3.0,low,1,MISSING
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.txt,"BIOEQ IP AG, HAVING ITS PLACE OF BUSINESS AT [***] (BIOEQ | COHERUS BIOSCIENCES",,,,,6.0,medium,2,MISSING
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.txt","COLUMBIA LABORATORIES, (BERMUDA) LTD., A LIMITED COMPANY EXISTING | ORGANISED UNDER THE LAWS OF BERMUDA",United Kingdom,,,,3.0,low,1,MISSING
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.txt,"CONFORMIS | HOWMEDICA OSTEONICS CORP., A NEW JERSEY CORPORATION, ALSO KNOWN AS STRYKER ORTHOPAEDICS (""STRYKER",Delaware,,,,3.0,low,1,MISSING
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.txt","COOL TECHNOLOGIES INC.., A NEVADA CORPORATION (HEREINAFTER REFERRED TO AS ""COOL TECH | VETERAN TECHNOLOGY GROUP",,,,,3.0,low,1,MISSING
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.txt",THE TERMS OF ANY STOCK OPTION AGREEMENT GOVERNING THE GRANT OF ANY STOCK OPTIONS TO THE CONSULTANT OR THE PRINCIPAL | THE TERMS OF THIS AGREEMENT,,,,,6.0,medium,2,MISSING
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,"COMMERCE ONE | CORIO INC., A DELAWARE CORPORATION, HAVING ITS PRINCIPAL PLACE OF BUSINESS AT 700 BAY ROAD, SUITE 210, REDWOOD CITY, CA 94063 (""CORIO",the State of California,,,,0.0,low,0,
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.txt,"CHASE BANK USA, N.A. (?CHASE? | YOU AS AN ""AFFILIATE"" IN THE CHASE AFFILIATE PROGRAM (THE ""AFFILIATE PROGRAM",,,,,6.0,medium,2,MISSING
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.txt","PHOENIX PERFORMANCE, LLC, 481 SCHUYLKILL ROAD, PHOENIXVILLE, PA 19460 (""VENDOR | TORVEC INC",New York,,,,3.0,low,1,MISSING
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.txt,"CURO MANAGEMENT | CURO RECEIVABLES FINANCE II, LLC, AS OWNER",Delaware,,,,3.0,low,1,MISSING
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.txt,"BIRCH FIRST GLOBAL INVESTMENTS INC., A CORPORATION INCORPORATED IN THE U.S. VIRGIN ISLANDS, WITH ITS MAIN PLACE OF BUSINESS LOCATED 9100 HAVENSIGHT, PORT OF SALE, STE. 15/16, ST. THOMAS, VI 0080 (REFERRED TO AS ""COMPANY | MOUNT KNOWLEDGE HOLDINGS INC",New York,,,,0.0,low,0,
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.txt,"CNET, INC. (""CNET | CYBERIAN OUTPOST",the State of California,,,,3.0,low,1,MISSING
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.txt,"CYTODYN INC | VYERA PHARMACEUTICALS, LLC, A DELAWARE LIMITED LIABILITY COMPANY (""VYERA",Delaware,,,,3.0,low,1,MISSING
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.txt,"DATA CALL TECHNOLOGIES, INC. 600 KENRICK, SUITE B-12 HOUSTON, TEXAS 77060 HEREINAFTER REFERRED TO AS ""LICENSOR | PLAN_B MEDIA AG SCHAAFENSTR",Texas,,,,0.0,low,0,
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.txt,"DELTATHREE | RSL COM PRIMECALL, INC., A DELAWARE CORPORATION (""PRIMECALL",Delaware,,,,0.0,low,0,
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.txt,"DIGITAL CINEMA DESTINATIONS CORP | NATIONAL CINEMEDIA, LLC, A DELAWARE LIMITED LIABILITY COMPANY (""NCM",Delaware,,,,3.0,low,1,MISSING
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.txt,"2205925 ONTARIO LIMITED | DIVERSINET CORP. (""DIVERSINET""), AN ONTARIO CORPORATION WITH ITS PRINCIPAL PLACE OF BUSINESS LOCATED AT 2235 SHEPPARD AVENUE EAST, SUITE 1700, TORONTO, ONTARIO, CANADA M2J 5B5",the province of Ontario,,,,0.0,low,0,
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.txt,"DOMINI ADVISOR TRUST, A MASSACHUSETTS BUSINESS TRUST (THE ""TRUST | DOMINI SOCIAL INVESTMENTS LLC",the Commonwealth of Massachusetts without reference to principles of conflicts of law,,,,3.0,low,1,MISSING
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,"DOVA PHARMACEUTICALS, INC | VALEANT PHARMACEUTICALS NORTH AMERICA LLC",,,,,6.0,medium,2,MISSING
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.txt,DRAGON SYSTEMS | MMI,,,,,6.0,medium,2,MISSING
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.txt","DRIVEN DELIVERIES, INC. (""COMPANY""), A NEVADA CORPORATION | TRUCKTHAT LLC (""CONSULTANT",the State of California,,,,3.0,low,1,MISSING
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.txt,"DRKOOP.COM, INC., A DELAWARE CORPORATION, LOCATED AT 8920 BUSINESS PARK DRIVE, LONGHORN SUITE, AUSTIN, TEXAS 78759 (""DRKOOP.COM | VITAMIN SHOPPE INDUSTRIES",Delaware,,,,3.0,low,1,MISSING
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt","INFORMATION SYSTEM ASSOCIATES, INC., A FLORIDA CORPORATION WHOSE REGISTERED OFFICE IS 1151 SOUTHWEST 30TH STREET, SUITE E, PALM CITY FL, 34990 (""ISA | RUBICON SOFTWARE GROUP PLC",,,,,3.0,low,1,MISSING
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.txt,C) THE OPERATING PLAN AND ANY AMENDMENTS THERETO | THE PARTIES EXCEPT AS HEREIN EXPRESSLY PROVIDED. 16 - 16 - 24.2 THE FOLLOWING ORDER OF PRECEDENCE SHALL BE GIVEN IN THE EVENT OF A CONFLICT BETWEEN THE DOCUMENTS COMPRISING THE AGREEMENT: (A) AGREEMENT (B) SCHEDULES,Canada,,,,3.0,low,1,MISSING
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.txt,"DIPLOMAT DIRECT MARKETING CORPORATION, A DELAWARE CORPORATION (""DIPLOMAT | TADEO E-COMMERCE CORP",Delaware,,,,3.0,low,1,MISSING
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.txt,"ABOUT.COM, INC. (""ABOUT""), A DELAWARE CORPORATION, LOCATED AT 1440 BROADWAY, 19TH FLOOR, NEW YORK, NY 10018 | EBIX",the state where a suit is properly filed under the terms of this paragraph,,,,3.0,low,1,MISSING
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.txt,"ECO SCIENCE SOLUTIONS, INC. (""ESSI""), A NEVADA CORPORATION | STEPHEN MARLEY (""TALENT",,,,,6.0,medium,2,MISSING
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.txt,"ECO SCIENCE SOLUTIONS | FRUIT OF LIFE PRODUCTIONS LLC, (""PROMOTER",,,,,6.0,medium,2,MISSING
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.txt,"EDIETS | WOMEN.COM NETWORKS, INC., A DELAWARE CORPORATION HAVING A PLACE OF BUSINESS AT 1820 GATEWAY DRIVE SUITE 150, SAN MATEO, CA 94404 (""WOMEN.COM",Delaware,,,,3.0,low,1,MISSING
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.txt,SUPERSEDES ALL PRIOR AGREEMENTS | THE PARTIES PERTAINING TO THE SUBJECT MATTER HEREOF,Canada,,,,2.0,low,1,AMBIGUOUS
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.txt,BSP | MTP AS NEEDED TO PROVIDE THE SERVICES,,,,,6.0,medium,2,MISSING
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement.txt,EMV RECEIPT OF THE GOODS ORDERED | MANUFACTURER RECEIVING AN ORDER,Canada,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.txt","E.L.F. BEAUTY, INC., A DELAWARE CORPORATION (THE ""COMPANY | MARATHON PARTNERS EQUITY MANAGEMENT",Delaware,,,,3.0,low,1,MISSING
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.txt,"EL POLLO LOCO, INC., A DELAWARE CORPORATION, WITH ITS PRINCIPAL PLACE OF BUSINESS AT 3535 HARBOR BLVD, SUITE 100, COSTA MESA, CALIFORNIA 92626 (REFERRED TO HEREIN AS ""EL POLLO LOCO"" OR ""FRANCHISOR | __________________AN INDIVIDUAL",the state in which the breach occurs,,,,3.0,low,1,MISSING
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.txt,"OTHER INFORMATION AND CONTENT REGARDING SELECTING AND APPLYING TO AND ATTENDING COLLEGES AND GRADUATE AND PROFESSIONAL DEGREE PROGRAMS TO END USERS VIA THE WORLD WIDE WEB; AND | SNAP TECHNOLOGIES, INC. A CALIFORNIA CORPORATION HAVING ITS PRINCIPAL PLACE OF BUSINESS AT 111 TOWNSEND ST., SAN FRANCISCO, CA 94107 (""SNAP""), AND, UNITED AIRLINES, INC., A DELAWARE CORPORATION HAVING ITS PRINCIPAL PLACE OF BUSINESS AT 1200 E. ALGONQUIN ROAD, ELK GROVE TOWNSHIP, IL 60007 (""SPONSOR""). RECITALS A. SNAP PROVIDES ACCESS TO APPLICATIONS",California,,,,3.0,low,1,MISSING
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.txt,"EMERALD HEALTH SCIENCES INC. (""EHS""), EMERALD HEALTH NUTRACEUTICALS INC. (""EHN | MICHAEL T",,,,,6.0,medium,2,MISSING
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..txt,THE COMPANY | THE CONTRACTOR,,,,,6.0,medium,2,MISSING
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.txt,"MEDIACO HOLDING INC., AN INDIANA CORPORATION (THE ""LICENSEE | WBLS-WLIB LLC",New York,,,,3.0,low,1,MISSING
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.txt,"DIALOG SEMICONDUCTOR (UK) LTD., A CORPORATION ORGANIZED UNDER THE LAWS OF ENGLAND | WALES",United Kingdom,,,,3.0,low,1,MISSING
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.txt,"ENERGY XXI GULF COAST, INC | ENERGY XXI USA",the State of Texas,,,,3.0,low,1,MISSING
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.txt,"ENTERPRISE PRODUCTS OPERATING L | ENTERPRISE TRANSPORTATION COMPANY, A DIVISION OF ENTERPRISE PRODUCTS COMPANY, (""CARRIER",Delaware,,,,3.0,low,1,MISSING
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.txt,LESS THE PRICE PAID BY DISTRIBUTOR TO VENDOR FOR THE RELEVANT PRODUCTS (EXCLUSIVE OF ANY TAXES | THE REVENUE GENERATED BY DISTRIBUTOR DURING THE RELEVANT PERIOD LESS ANY COMMISSIONS PAID BY DISTRIBUTOR TO THIRD PARTIES,,,,,6.0,medium,2,MISSING
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT.txt,"ENTRUST TECHNOLOGIES INC | NORTHERN TELECOM LIMITED, A CANADIAN CORPORATION (""NTL",,,,,6.0,medium,2,MISSING
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.txt","TRIPATH TECHNOLOGY, INC. (""TRIPATH | UNIQUEST CORPORATION 780 MONTAGUE EXPRESSWAY SUITE 406 SANTA JOSE",California,,,,3.0,low,1,MISSING
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.txt,"AUCTA PHARMACEUTICALS | ETON PHARMACEUTICALS, INC., A DELAWARE CORPORATION WITH OFFICES AT 21925 W. FIELD PKWY, SUITE 235, DEER PARK, ILLINOIS, USA (""ETON",Delaware,,,,3.0,low,1,MISSING
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.txt,"EUROMEDIA HOLDINGS CORP | ROGERS CABLE COMMUNICATIONS INC. (""ROGERS",Canada,,,,3.0,low,1,MISSING
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.txt,"EUROPEAN MICRO (""DISTRIBUTOR | WATCHGUARD TECHNOLOGIES, INC., A DELAWARE CORPORATION (""WGT",Delaware,,,,3.0,low,1,MISSING
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.txt,EXACT SCIENCES CORPORATION | PFIZER INC,Delaware,,,,3.0,low,1,MISSING
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.txt,"FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY, A DELAWARE STATUTORY TRUST (THE ""ADVISER",Delaware,,,,3.0,low,1,MISSING
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.txt,"FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY, A DELAWARE STATUTORY TRUST (THE ""ADVISER",Delaware,,,,6.0,medium,2,MISSING
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.txt,FASC (SUCH AGREEMENT | THE ADVISER,,,,,6.0,medium,2,MISSING
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.txt,"FEDERATED ADVISORY SERVICES COMPANY | FEDERATED INVESTMENT MANAGEMENT COMPANY, A DELAWARE STATUTORY TRUST (THE ""ADVISER",Delaware,,,,6.0,medium,2,MISSING
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.txt,EIT | THE CUSTOMER,Spain and the language of the process will be Spanish,,,,3.0,low,1,MISSING
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.txt,ASTELLAS PHARMA INC | FIBROGEN,,,,,6.0,medium,2,MISSING
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT.txt",CERTEGY INC | EQUIFAX INC,,,,,6.0,medium,2,MISSING
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.txt,"FLORIDA CHEMICAL COMPANY, LLC, A DELAWARE LIMITED LIABILITY COMPANY (""FCC | FLOTEK CHEMISTRY",Delaware,,,,3.0,low,1,MISSING
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.txt",F. HOFFMANN-LA ROCHE LTD WITH AN OFFICE | PLACE OF BUSINESS AT GRENZACHERSTRASSE 124,Massachusetts,,,,3.0,low,1,MISSING
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.txt,"MITCHELL VITALIS | NATALIJA TUNEVIC, DIRECTOR OF FREECOOK (HEREINAFTER REFERRED TO AS ""CLIENT",,,,5000.0,6.0,medium,2,MISSING
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.txt,AMERICAN DIABETES ASSOCIATION | FREEZE TAG,,,,,8.0,medium,3,"AMBIGUOUS,MISSING"
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.txt","EDGE COMMUNICATIONS SOLUTIONS, LLC, WITH ITS PRINCIPAL PLACE OF BUSINESS AT 6505 WINDCREST DRIVE, SUITE 200, PLANO, TX 75024 (HEREINAFTER REFERRED TO AS ""EDGE | FTE NETWORKS",the State of Texas,,,,3.0,low,1,MISSING
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.txt,"EXXONMOBIL RESEARCH AND ENGINEERING COMPANY | FUELCELL ENERGY, INC",the State of New York without recourse to its conflicts of law rules,,,,3.0,low,1,MISSING
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.txt,"AMONG THE PARTIES HERETO | THEM CONCERNING THE SUBJECT MATTER CONTAINED HEREIN. THERE ARE NO REPRESENTATIONS, AGREEMENTS, ARRANGEMENTS, OR UNDERSTANDINGS, ORAL OR WRITTEN, BETWEEN",the State of Florida,,,,6.0,medium,2,MISSING
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.txt,CPM MEDICAL CONSULTANTS LLC | SIGNATURE ORTHOPAEDICS PTY LTD,,,,,8.0,medium,3,"AMBIGUOUS,MISSING"
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.txt,CENTRE FOR PROBE DEVELOPMENT | COMMERCIALIZATION,Canada,,,,0.0,low,0,
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.txt,"GAINSCO | STALLINGS CAPITAL GROUP CONSULTANTS, LTD., A TEXAS LIMITED PARTNERSHIP DBA BOB STALLINGS RACING (""RACING",Texas,,,,3.0,low,1,MISSING
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT.txt,GALACTICOMM | HORST ENTERTAINMENT INC,,,,,9.0,medium,3,MISSING
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT.txt",CLARUS IV-A | THE SECURITIES EXCHANGE ACT,Delaware,,,,6.0,medium,2,MISSING
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.txt,GARRETT MOTION INC | HONEYWELL INTERNATIONAL INC,Delaware,,,,3.0,low,1,MISSING
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.txt,COMPANY | DISTRIBUTOR WILL BE BY INCOTERMS EX-WORKS,,,,,6.0,medium,2,MISSING
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt","GIGGLES N' HUGS, INC., A NEVADA CORPORATION (THE ""COMPANY | KIDDO",Florida,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.txt,"DISTRIBUTOR | GLOBAL MUSIC INTERNATIONAL, INC. D/B/A INDEPENDENT MUSIC NETWORK (IMNTV), LOCATED AT 20 OLD STAGECOACH ROAD, REDDING, CONNECTICUT, 06896 (""IMNTV",the State of Florida without regard to conflicts of law provisions,,,,3.0,low,1,MISSING
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.txt,"GLOBAL TECHNOLOGIES, LTD (HEREINAFTER THE ""COMPANY""), A DELAWARE CORPORATION WHOSE ADDRESS IS 501 1ST AVE N., SUITE 901, ST. PETERSBURG, FL 33701 | TIMOTHY CABRERA (HEREINAFTER THE ""CONSULTANT",Delaware,,,,3.0,low,1,MISSING
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.txt,"SORRENT | TWENTIETH CENTURY FOX LICENSING & MERCHANDISING, A DIVISION OF FOX ENTERTAINMENT GROUP, INC. (""FOX""), AS ADMINISTRATOR FOR TWENTIETH CENTURY FOX FILM CORPORATION (""TRADEMARK LICENSOR",,,,,5.0,medium,2,"AMBIGUOUS,MISSING"
