_doc_id,risk_score,risk_bucket,governing_law,payment_net_days,effective_date,_issues_count,tags
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.txt,9,high,,,,3,incomplete
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.txt,9,high,,,,3,incomplete
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT.txt,9,high,,,,3,incomplete
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT.txt",4,medium,the State of New York without recourse to New York choice of law or conflicts of law principles,,2014-03-21,2,law:the State of New York without recourse to New York choice of law or conflicts of law principles;incomplete
HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.txt,9,high,,,,3,incomplete
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.txt,10,high,,,,4,incomplete
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.txt,9,high,,,,3,incomplete
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT.txt,6,medium,,,,2,incomplete
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.txt,8,high,the State of Texas,,,4,law:the State of Texas;incomplete
ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement.txt,9,high,,,,3,incomplete
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.txt,10,high,,,,4,incomplete
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.txt,10,high,,,,4,incomplete
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.txt,9,high,,,,3,incomplete
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.txt,9,high,,,,3,incomplete
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT.txt,9,high,,,,3,incomplete
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.txt,6,medium,,30,,2,net:fast;incomplete
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.txt,9,high,,,,3,incomplete
IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.txt,9,high,,,,3,incomplete
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.txt,15,high,,,,5,incomplete
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.txt,6,medium,,,,2,incomplete
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT.txt,9,high,,,,3,incomplete
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT.txt,9,high,,,,3,incomplete
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.txt,8,high,the State of Israel,,,4,law:the State of Israel;incomplete
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement.txt,10,high,,,,4,incomplete
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.txt",9,high,,,,3,incomplete
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.txt,12,high,,,,4,incomplete
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.txt,8,high,the State of                   Tennessee applicable to contracts entered into and performed                   entirely within the State of Tennessee,,,4,law:the State of                   Tennessee applicable to contracts entered into and performed                   entirely within the State of Tennessee;incomplete
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement.txt",10,high,,,,4,incomplete
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT.txt,9,high,,,,3,incomplete
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT.txt",6,medium,,,,2,incomplete
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.txt,7,medium,Victoria,,,3,law:Victoria;incomplete
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.txt,9,high,,,,3,incomplete
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt",6,medium,,,2017-04-17,2,incomplete
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.txt,7,medium,,,,3,incomplete
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.txt",9,high,,,,3,incomplete
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.txt,9,high,,,,3,incomplete
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT.txt,7,medium,PRC,,,3,law:PRC;incomplete
JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT.txt,9,high,,,,3,incomplete
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt,7,medium,,,,3,incomplete
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.txt,9,high,,,,3,incomplete
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.txt,10,high,,,,4,incomplete
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.txt",9,high,,,,3,incomplete
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.txt",8,high,the State of Texas,,,4,law:the State of Texas;incomplete
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.txt,7,medium,,30,,3,net:fast;incomplete
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.txt",9,high,,,,3,incomplete
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part1.txt",10,high,,,,4,incomplete
"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2.txt",4,medium,,30,2020-02-05,2,net:fast;incomplete
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.txt,9,high,,,,3,incomplete
LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.txt,6,medium,,,,2,incomplete
LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.txt,7,medium,England and Wales,,,3,law:England and Wales;incomplete
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.txt,10,high,,,,4,incomplete
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.txt",10,high,,,,4,incomplete
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.txt,9,high,,,,3,incomplete
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.txt,9,high,,,,3,incomplete
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2.txt,7,medium,the PRC,,,3,law:the PRC;incomplete
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.txt,10,high,,,,4,incomplete
LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT.txt,10,high,,,,4,incomplete
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.txt,6,medium,,,,2,incomplete
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.txt,12,high,,,,4,incomplete
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.txt,7,medium,,,,3,incomplete
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.txt,7,medium,the State of Tennessee,,,3,law:the State of Tennessee;incomplete
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement.txt,15,high,,,,5,incomplete
LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT.txt,13,high,,,,5,incomplete
"Loop Industries, Inc. - Marketing Agreement.txt",10,high,,,,4,incomplete
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.txt,7,medium,the          State of Missouri,,,3,law:the          State of Missouri;incomplete
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.txt,6,medium,,,,2,incomplete
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.txt,10,high,,,,4,incomplete
"MACY_S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.txt",15,high,,,,5,incomplete
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.txt",7,medium,the State of New York,,,3,law:the State of New York;incomplete
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT.txt,10,high,,,,4,incomplete
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.txt,6,medium,,,1998-06-01,2,incomplete
"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT.txt",7,medium,the State of           Nevada,,,3,law:the State of           Nevada;incomplete
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT.txt,9,high,,,,3,incomplete
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.txt",9,high,,,,3,incomplete
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.txt,10,high,,,,4,incomplete
"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.txt",9,high,,,,3,incomplete
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.txt,9,high,,,,3,incomplete
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.txt,10,high,,,,4,incomplete
"MetLife, Inc. - Remarketing Agreement.txt",10,high,,,,4,incomplete
"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT.txt",15,high,,,,5,incomplete
Microgenics Corporation - Collaborative Development and Commercialization Agreement.txt,7,medium,the State of Delaware,,,3,law:the State of Delaware;incomplete
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT.txt",9,high,,,,3,incomplete
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.txt,9,high,,,,3,incomplete
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT.txt",12,high,,,,4,incomplete
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.txt,9,high,,,,3,incomplete
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT.txt,9,high,,,,3,incomplete
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.txt,9,high,,,,3,incomplete
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.txt,9,high,,,,3,incomplete
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT.txt,9,high,,,,3,incomplete
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.txt,7,medium,the State of New York,,,3,law:the State of New York;incomplete
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.txt,9,high,,,,3,incomplete
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.txt,6,medium,,,,2,incomplete
MSCIINC_02_28_2008-EX-10.10-.txt,12,high,,,,4,incomplete
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.txt,10,high,,,,4,incomplete
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.txt,9,high,,,,3,incomplete
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.txt,10,high,,,,4,incomplete
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.txt,6,medium,,,,2,incomplete
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.txt,9,high,,,,3,incomplete
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT.txt,8,high,the United States and,,,4,law:the United States and;incomplete
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.txt,15,high,,,,5,incomplete
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.txt,7,medium,,,,3,incomplete
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT.txt,9,high,,,,3,incomplete
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment.txt,9,high,,,,3,incomplete
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New.txt,9,high,,,,3,incomplete
"NETGEAR,INC_04_21_2003-EX-10.16- AMENDMENT 2 TO THE DISTRIBUTION AGREEMENT.txt",12,high,,,,4,incomplete
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR.txt",10,high,the State of California except that body of law dealing with conflicts of law,,,4,law:the State of California except that body of law dealing with conflicts of law;incomplete
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT.txt",2,low,the State of California except that body of law dealing with conflicts of law,,1996-03-01,2,law:the State of California except that body of law dealing with conflicts of law
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT.txt,10,high,,,,4,incomplete
NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE AGREEMENT.txt,12,high,,,,4,incomplete
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.txt,10,high,,,,4,incomplete
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.txt,9,high,,,,3,incomplete
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.txt,6,medium,,,,2,incomplete
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.txt,7,medium,,,,3,incomplete
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.txt,9,high,,,,3,incomplete
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.txt",9,high,,,,3,incomplete
NUVEEN - REMARKETING AGREEMENT.txt,7,medium,the State of New York,,,3,law:the State of New York;incomplete
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.txt,9,high,,,,3,incomplete
"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement.txt",7,medium,England and Wales,,,3,law:England and Wales;incomplete
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.txt",4,medium,the State of California,,,2,law:the State of California;incomplete
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.txt,9,high,,,,3,incomplete
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.txt,10,high,,,,4,incomplete
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2.txt,12,high,,,,4,incomplete
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.txt",9,high,,,,3,incomplete
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.txt",10,high,,,,4,incomplete
ON4COMMUNICATIONSINC_07_02_2009-EX-10.1-PROMOTION AGREEMENT.txt,10,high,the Province of Ontario and the federal laws of  Canada applicable therein,,,4,law:the Province of Ontario and the federal laws of  Canada applicable therein;incomplete
"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT.txt",15,high,,,,5,incomplete
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.txt,10,high,,,,4,incomplete
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT.txt",7,medium,the State of Texas,,,3,law:the State of Texas;incomplete
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.txt,10,high,,,,4,incomplete
"OTISWORLDWIDECORP_04_03_2020-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT by and among UNITED TECHNOLOGIES CORPORATION, OTIS WORLDWIDE CORPORATION and CARRIER ~1.txt",9,high,,,,3,incomplete
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.txt,9,high,,,,3,incomplete
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT.txt,12,high,,,,4,incomplete
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT.txt",6,medium,,,,2,incomplete
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.txt,9,high,,,,3,incomplete
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.txt,9,high,,,,3,incomplete
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.txt,9,high,,,,3,incomplete
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.txt,7,medium,,,,3,incomplete
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.txt,10,high,,,,4,incomplete
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.txt,7,medium,,,,3,incomplete
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.txt",8,high,the State of Connecticut,,,4,law:the State of Connecticut;incomplete
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.txt,10,high,,,,4,incomplete
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.txt,12,high,,,,4,incomplete
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.txt,12,high,,,,4,incomplete
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1.txt,12,high,,,,4,incomplete
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2.txt,8,high,the State of Washington without regards for its conflict of laws principle,,,4,law:the State of Washington without regards for its conflict of laws principle;incomplete
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.txt,10,high,,,,4,incomplete
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.txt,9,high,,,,3,incomplete
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1.txt,9,high,,,,3,incomplete
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3.txt,10,high,,,,4,incomplete
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.txt,7,medium,the State of Massachusetts,,,3,law:the State of Massachusetts;incomplete
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.txt,9,high,,,,3,incomplete
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.txt,9,high,,,,3,incomplete
PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.txt,9,high,,,,3,incomplete
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.txt,10,high,,,,4,incomplete
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement.txt,10,high,,,,4,incomplete
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT.txt",6,medium,,,,2,incomplete
PLAYAHOTELS_RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun).txt,12,high,,,,4,incomplete
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.txt,6,medium,,,,2,incomplete
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2.txt,9,high,,,,3,incomplete
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.txt,7,medium,the State of Texas without regard to principles of conflicts of laws,,,3,law:the State of Texas without regard to principles of conflicts of laws;incomplete
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt",15,high,,,,5,incomplete
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,15,high,,,,5,incomplete
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT.txt,12,high,,,,4,incomplete
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement.txt,9,high,,,,3,incomplete
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.txt,7,medium,,,,3,incomplete
PROLONGINTERNATIONALCORP_03_23_1998-EX-10.16-SPONSORSHIP AGREEMENT.txt,12,high,,,,4,incomplete
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.txt,7,medium,the State of Pennsylvania,,,3,law:the State of Pennsylvania;incomplete
QBIOMEDINC_04_08_2020-EX-99.1-JOINT FILING AGREEMENT.txt,15,high,,,,5,incomplete
QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.txt,9,high,,,,3,incomplete
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.txt,15,high,,,,5,incomplete
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.txt,10,high,,,,4,incomplete
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.txt,7,medium,,,,3,incomplete
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.txt,7,medium,,,,3,incomplete
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.txt,9,high,,,,3,incomplete
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.txt,10,high,,,,4,incomplete
ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement.txt,9,high,,,,3,incomplete
REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT.txt,9,high,,,,3,incomplete
"Reinsurance Group of America, Incorporated - A_R REMARKETING  AGREEMENT.txt",10,high,,,,4,incomplete
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.txt,9,high,,,,3,incomplete
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.txt,6,medium,,,,2,incomplete
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt,10,high,,,,4,incomplete
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.txt,9,high,,,,3,incomplete
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.txt,10,high,,,,4,incomplete
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement.txt,12,high,,,,4,incomplete
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.txt,10,high,,,,4,incomplete
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.txt,9,high,,,,3,incomplete
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.txt,15,high,,,,5,incomplete
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.txt",10,high,,,,4,incomplete
RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT.txt,9,high,,,,3,incomplete
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.txt,12,high,,,,4,incomplete
SANDRIDGEENERGYINC_08_06_2009-EX-10.6-OPERATIONS AND MAINTENANCE AGREEMENT.txt,10,high,,,,4,incomplete
ScansourceInc_20190509_10-Q_EX-10.2_11661422_EX-10.2_Distributor Agreement.txt,9,high,,,,3,incomplete
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.txt,6,medium,,,,2,incomplete
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2.txt,9,high,,,,3,incomplete
ScansourceInc_20190822_10-K_EX-10.39_11793959_EX-10.39_Distributor Agreement.txt,12,high,,,,4,incomplete
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.txt,9,high,,,,3,incomplete
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.txt,8,high,,,,4,incomplete
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT.txt,9,high,,,,3,incomplete
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.txt,7,medium,China,,,3,law:China;incomplete
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.txt,9,high,,,,3,incomplete
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.txt,6,medium,,,,2,incomplete
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.txt",10,high,,,,4,incomplete
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.txt,9,high,,,,3,incomplete
"SightLife Surgical, Inc. - STRATEGIC SALES _ MARKETING AGREEMENT.txt",9,high,,,,3,incomplete
